Date/Time,T [outside],T [comb 1/2],T [comb 4/5],T [comb 5/6],Humidity
2018/11/07 02:42:00,10.3,34.5,27.0,24.9,53.0
2018/11/07 02:47:00,10.3,34.5,27.0,25.0,52.6
2018/11/07 02:52:00,10.3,34.5,27.2,25.0,52.2
2018/11/07 02:57:00,10.3,34.5,27.0,25.0,54.3
2018/11/07 03:02:00,10.3,34.2,27.0,24.9,53.0
2018/11/07 03:07:00,10.3,34.2,26.7,25.0,52.0
2018/11/07 03:12:00,10.5,34.0,26.7,25.0,53.5
2018/11/07 03:17:00,10.5,34.2,26.7,25.0,51.5
2018/11/07 03:22:00,10.5,34.2,26.7,25.0,52.3
2018/11/07 03:27:00,10.5,34.2,26.7,24.9,51.8
2018/11/07 03:32:00,10.5,34.2,26.5,24.9,51.7
2018/11/07 03:37:00,10.8,34.2,26.7,24.9,52.0
2018/11/07 03:42:00,10.8,34.5,26.7,24.8,52.0
2018/11/07 03:47:00,10.8,34.2,26.7,24.9,52.3
2018/11/07 03:52:00,10.8,34.5,26.7,24.8,50.6
2018/11/07 04:07:00,10.8,34.5,26.7,24.8,50.4
2018/11/07 04:12:00,10.8,34.5,26.5,24.8,51.1
2018/11/07 04:17:00,10.8,34.2,26.5,24.8,51.9
2018/11/07 04:22:00,10.8,34.2,26.5,24.7,52.2
2018/11/07 04:27:00,10.5,34.2,26.5,24.7,52.4
2018/11/07 04:32:00,10.5,34.2,26.2,24.7,53.7
2018/11/07 04:37:00,10.3,34.5,26.5,24.7,53.2
2018/11/07 04:42:00,10.3,34.5,26.5,24.7,53.2
2018/11/07 04:47:00,10.3,34.5,26.5,24.6,56.0
2018/11/07 04:52:00,10.0,34.5,26.5,24.6,51.4
2018/11/07 04:57:00,10.0,34.5,26.2,24.6,52.6
2018/11/07 05:02:00,10.0,34.5,26.2,24.6,52.4
2018/11/07 05:07:00,10.0,34.7,26.2,24.6,52.3
2018/11/07 05:12:00,9.8,34.5,26.2,24.7,60.2 
2018/11/07 05:17:00,9.8,34.5,26.2,24.6,51.5 
2018/11/07 05:22:00,9.8,34.2,26.2,24.6,50.7 
2018/11/07 05:27:00,9.8,34.2,26.0,24.6,50.0 
2018/11/07 05:32:00,9.8,34.2,26.2,24.5,48.1 
2018/11/07 05:37:00,9.8,34.5,26.2,24.5,49.4 
2018/11/07 05:42:00,10.0,34.2,26.0,24.6,49.1
2018/11/07 05:47:00,10.0,34.2,26.0,24.6,49.0
2018/11/07 05:52:00,10.3,34.5,25.7,24.5,47.6
2018/11/07 06:07:00,10.3,34.2,25.7,24.5,48.4
